fixture_id,group,match_round,team_a,team_b,query,market_id,condition_id,slug,question,market_type,classification_confidence,classification_reason,outcomes_preview,clob_token_ids_count,enable_order_book,active,closed,volume,liquidity,event_slug,tags,raw_source,already_in_existing_match_odds,new_processable_market
G-A-1-1,A,1,Mexico,South Africa,Mexico South Africa,351715,,fifwc-mex-rsa-2026-06-11,Mexico vs. South Africa,unknown,low,No conservative classification rule matched.,[],0,True,True,False,835790.3384429965,2597623.0937,,sports; games; fifa-world-cup; soccer,fixture_search,True,False
G-A-1-1,A,1,Mexico,South Africa,Mexico South Africa,1897034,0x4cd77d456c83e7d8c569a8fb8f6396c3f40154f657e6d970733e2b1b6a7110ff,fifwc-mex-rsa-2026-06-11-mex,Will Mexico win on 2026-06-11?,match_binary_home,medium,Binary market with two-team fixture context.,"[""Yes"", ""No""]",2,True,True,False,573138.3835839962,578702.068,fifwc-mex-rsa-2026-06-11,,fixture_search,False,True
G-A-1-1,A,1,Mexico,South Africa,Mexico South Africa,1897035,0x0a4b9beb6128863db2b107f185521597a426356f1d9a23c7001401edfd32014b,fifwc-mex-rsa-2026-06-11-draw,Will Mexico vs. South Africa end in a draw?,match_binary_draw,medium,Binary market with two-team fixture context.,"[""Yes"", ""No""]",2,True,True,False,67450.93234699997,877036.9119,fifwc-mex-rsa-2026-06-11,,fixture_search,False,True
G-A-1-1,A,1,Mexico,South Africa,Mexico South Africa,1897036,0x17dfc75726fa95d4054d91e80295c8b3e494569617e67a7e620e27562b7952b0,fifwc-mex-rsa-2026-06-11-rsa,Will South Africa win on 2026-06-11?,match_binary_away,medium,Binary market with two-team fixture context.,"[""Yes"", ""No""]",2,True,True,False,197320.63472500024,1139501.3581,fifwc-mex-rsa-2026-06-11,,fixture_search,False,True
,,,,,Mexico South Africa,30615,,world-cup-winner,World Cup Winner ,outright_winner,high,World Cup outright winner wording.,[],0,True,True,False,1850279781.5707045,362549252.55048,,soccer; sports; fifa-world-cup; 2026-fifa-world-cup; hide-from-new,fixture_search,False,False
,,,,,Mexico South Africa,558934,0x7976b8dbacf9077eb1453a62bcefd6ab2df199acd28aad276ff0d920d6992892,will-spain-win-the-2026-fifa-world-cup-963,Will Spain win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,34843245.061264664,1276798.37948,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558957,0x9e5f9d8c384f8fe368b195fa9a780be58643dff7360588a4e577012df8af00a7,will-new-zealand-win-the-2026-fifa-world-cup-635,Will New Zealand win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,45300921.612645194,15690167.45064,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558974,0x3a26ca6425e2d98f14935670bc22cdb0744defc6f6d83c65f8c413a921c5c70c,will-switzerland-win-the-2026-fifa-world-cup,Will Switzerland win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,35794890.74891862,2310094.70811,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558935,0x375409bc5eeeff961e82b479caeccc20f33d15738e5bce1186d628aa3d9dfb1f,will-england-win-the-2026-fifa-world-cup-937,Will England win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,30208388.285717554,1936102.30627,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558992,0x74885870fd540aa9881baac1a99c7a205f80556baba91e1f44fb80178ec46830,will-team-am-win-the-2026-fifa-world-cup,Will Team AM win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,False,False,0,0,world-cup-winner,,fixture_search,False,False
,,,,,Mexico South Africa,558936,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,will-france-win-the-2026-fifa-world-cup-924,Will France win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,42273932.97456848,998975.81845,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558961,0x65307f30dce84ac35e41813035d3c04933da830dc4efbbb2fcdc4b282700ef3b,will-south-korea-win-the-2026-fifa-world-cup-485,Will South Korea win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,45609247.96376073,4596967.26642,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558977,0x506f80bcf76bc75e6b31a250e2d754f347c4c231665326931d58bdb339ba1913,will-haiti-win-the-2026-fifa-world-cup,Will Haiti win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,31896910.571820088,15369950.82676,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558937,0x30d55d8124ee1e12dabe89201badc45669b81dff69e4ce44d961f32878ec178a,will-brazil-win-the-2026-fifa-world-cup-183,Will Brazil win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,31782025.761376116,1899400.71487,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558962,0x33a87d02fa01e958929385c74b8627d32cc4474e9ebd312d268865c5207147fa,will-jordan-win-the-2026-fifa-world-cup-233,Will Jordan win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,31365072.441882774,15701799.47466,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558978,0xdb4b2f370c3d0e996fbb32213c87aa5402936e3d4882432b6738e2f5661b79a6,will-curaao-win-the-2026-fifa-world-cup,Will Curaçao win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,41435203.67691622,15371688.70994,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558938,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,will-argentina-win-the-2026-fifa-world-cup-245,Will Argentina win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,31856690.21421411,1669803.67028,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558939,0x1595b4818eeb1ea1e0bec5de6f057218e557feee9b405a0e930d290384fa1d16,will-germany-win-the-2026-fifa-world-cup-467,Will Germany win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,33871967.7431055,1861011.38019,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558947,0xe99cc59f32b10d23acf196d1a0e8264ea30fca198428acadd3464b06ff60e771,will-colombia-win-the-2026-fifa-world-cup-734,Will Colombia win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,36693583.39134796,4634889.57436,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558959,0x84edef36bded182da6a395ac6c785dba8f3e09b6c5ad041385b2042536cbef25,will-iran-win-the-2026-fifa-world-cup-788,Will Iran win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,41858493.67879,10042543.64414,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558940,0x4f3421fb2daf5cca7430ed8d8132463963081572d75434393a1808fdb8829fe8,will-portugal-win-the-2026-fifa-world-cup-912,Will Portugal win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,36546797.43467022,706806.14141,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558967,0x881a3ffa618b6ae0ab95a5637e310afb1afc2d99c921bfe3235b15eccfce0344,will-ghana-win-the-2026-fifa-world-cup,Will Ghana win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,34927301.846441776,14409961.4035,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558941,0x9be56371f6a29d12769b2f196847ee825b9585ebb8bfa042136be031b081eba1,will-netherlands-win-the-2026-fifa-world-cup-739,Will Netherlands win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,35072290.243173845,2293377.81002,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558969,0x5a59d269c2b5108cd2f64c624e46ee2c8b5cfd88b882582565f927918315b6aa,will-algeria-win-the-2026-fifa-world-cup,Will Algeria win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,40605136.0842155,6106315.10721,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558983,0xbce6698c9a61376c0709a2a724a9cf0dd0236d8dea882533073b6bb062efbee0,will-bosnia-herzegovina-win-the-2026-fifa-world-cup,Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,24120332.67771792,14355041.30037,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558942,0xc7c21c8972c773b34f36f67f15dada2584474d959f7e338aca5994727d37ae39,will-italy-win-the-2026-fifa-world-cup-813,Will Italy win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,True,8666273.297316846,,world-cup-winner,,fixture_search,False,False
,,,,,Mexico South Africa,558943,0xcdb1f0400949238a63d3e88243d2ada08cd9c2a71985ced9f0cfd5e66354cf90,will-usa-win-the-2026-fifa-world-cup-467,Will USA win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,52802360.63761012,6275206.32811,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558952,0x67443cb1ffb2bf180f7df5b6ca7adff63f7e8e933c7e41405ba118f3e9f8befb,will-canada-win-the-2026-fifa-world-cup-755,Will Canada win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,41888761.36139396,7366118.01053,world-cup-winner,,fixture_search,False,True
,,,,,Mexico South Africa,558985,0x106ccc4508432a065a67394837d4c2c529a8d77ed69fa3ba90b81eedf5236598,will-turkiye-win-the-2026-fifa-world-cup,Will Turkiye win the 2026 FIFA World Cup?,outright_winner,high,World Cup outright winner wording.,"[""Yes"", ""No""]",2,True,True,False,34737015.46595631,1933801.80938,world-cup-winner,,fixture_search,False,True
